스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,1,Anyone's Legend,7,1325,10,17
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,3,17 Gaming,10,1448,5,15
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,2,Geekay Esports,8,1304,6,14
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,5,Twisted Minds,8,1354,3,11
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,4,GAM X TE,3,1349,4,7
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,6,Team Falcons,5,890,2,7
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,7,T1,5,1256,1,6
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,8,DN SOOPers,3,497,1,4
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,12,Shadow Esports,3,510,0,3
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,10,Full Sense,2,388,0,2
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,13,DIGA Esports,2,344,0,2
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,14,Made in Thailand,2,306,0,2
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,9,Team Vitality,1,308,0,1
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,16,JD Gaming,1,176,0,1
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,11,R8 Esports,0,191,0,0
Invitational,1,26. 7. 31. AM 9:39,ERANGEL,15,Virtus.pro,0,354,0,0
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,1,Team Vitality,6,1219,10,16
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,3,JD Gaming,7,1127,5,12
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,4,Twisted Minds,8,827,4,12
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,2,Full Sense,3,1936,6,9
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,7,Geekay Esports,8,1608,1,9
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,5,Virtus.pro,5,1045,3,8
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,8,Shadow Esports,4,293,1,5
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,6,T1,2,345,2,4
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,9,17 Gaming,4,625,0,4
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,15,GAM X TE,4,482,0,4
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,10,Anyone's Legend,3,535,0,3
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,12,DIGA Esports,2,337,0,2
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,11,Team Falcons,1,339,0,1
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,13,DN SOOPers,1,419,0,1
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,16,Made in Thailand,1,568,0,1
Invitational,2,26. 7. 31. PM 3:03,MIRAMAR,14,R8 Esports,0,66,0,0
Invitational,3,26. 7. 31. PM 3:55,TAEGO,1,17 Gaming,9,1393,10,19
Invitational,3,26. 7. 31. PM 3:55,TAEGO,2,Made in Thailand,4,1490,6,10
Invitational,3,26. 7. 31. PM 3:55,TAEGO,4,GAM X TE,5,1236,4,9
Invitational,3,26. 7. 31. PM 3:55,TAEGO,3,Full Sense,3,686,5,8
Invitational,3,26. 7. 31. PM 3:55,TAEGO,8,Anyone's Legend,6,921,1,7
Invitational,3,26. 7. 31. PM 3:55,TAEGO,10,T1,7,869,0,7
Invitational,3,26. 7. 31. PM 3:55,TAEGO,6,Team Falcons,4,579,2,6
Invitational,3,26. 7. 31. PM 3:55,TAEGO,7,Virtus.pro,5,1108,1,6
Invitational,3,26. 7. 31. PM 3:55,TAEGO,5,Team Vitality,2,330,3,5
Invitational,3,26. 7. 31. PM 3:55,TAEGO,9,Shadow Esports,5,814,0,5
Invitational,3,26. 7. 31. PM 3:55,TAEGO,11,DN SOOPers,5,1043,0,5
Invitational,3,26. 7. 31. PM 3:55,TAEGO,12,R8 Esports,4,616,0,4
Invitational,3,26. 7. 31. PM 3:55,TAEGO,14,DIGA Esports,2,247,0,2
Invitational,3,26. 7. 31. PM 3:55,TAEGO,13,Twisted Minds,1,498,0,1
Invitational,3,26. 7. 31. PM 3:55,TAEGO,15,Geekay Esports,0,114,0,0
Invitational,3,26. 7. 31. PM 3:55,TAEGO,16,JD Gaming,0,141,0,0
Invitational,4,26. 7. 31. PM 4:48,RONDO,1,Team Vitality,9,1957,10,19
Invitational,4,26. 7. 31. PM 4:48,RONDO,3,JD Gaming,6,553,5,11
Invitational,4,26. 7. 31. PM 4:48,RONDO,13,Virtus.pro,9,1344,0,9
Invitational,4,26. 7. 31. PM 4:48,RONDO,2,GAM X TE,2,1179,6,8
Invitational,4,26. 7. 31. PM 4:48,RONDO,4,Made in Thailand,3,336,4,7
Invitational,4,26. 7. 31. PM 4:48,RONDO,5,Anyone's Legend,4,1127,3,7
Invitational,4,26. 7. 31. PM 4:48,RONDO,8,Team Falcons,6,824,1,7
Invitational,4,26. 7. 31. PM 4:48,RONDO,12,17 Gaming,5,587,0,5
Invitational,4,26. 7. 31. PM 4:48,RONDO,6,R8 Esports,2,604,2,4
Invitational,4,26. 7. 31. PM 4:48,RONDO,9,DN SOOPers,4,985,0,4
Invitational,4,26. 7. 31. PM 4:48,RONDO,11,Geekay Esports,4,787,0,4
Invitational,4,26. 7. 31. PM 4:48,RONDO,7,DIGA Esports,1,447,1,2
Invitational,4,26. 7. 31. PM 4:48,RONDO,15,Twisted Minds,2,449,0,2
Invitational,4,26. 7. 31. PM 4:48,RONDO,10,Full Sense,1,524,0,1
Invitational,4,26. 7. 31. PM 4:48,RONDO,14,Shadow Esports,0,80,0,0
Invitational,4,26. 7. 31. PM 4:48,RONDO,16,T1,0,238,0,0
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,1,DN SOOPers,9,1513,10,19
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,2,GAM X TE,9,1234,6,15
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,4,T1,11,1637,4,15
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,8,Team Vitality,8,1243,1,9
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,3,Geekay Esports,1,728,5,6
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,5,Full Sense,3,548,3,6
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,12,Twisted Minds,6,723,0,6
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,6,JD Gaming,3,784,2,5
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,7,Virtus.pro,3,585,1,4
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,16,Team Falcons,3,624,0,3
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,10,Shadow Esports,2,469,0,2
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,11,R8 Esports,2,222,0,2
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,14,DIGA Esports,2,307,0,2
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,9,17 Gaming,1,342,0,1
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,13,Made in Thailand,0,597,0,0
Invitational,5,26. 7. 31. PM 5:44,ERANGEL,15,Anyone's Legend,0,101,0,0
Invitational,6,26. 8. 1. AM 9:42,TAEGO,1,Team Falcons,11,2008,10,21
Invitational,6,26. 8. 1. AM 9:42,TAEGO,2,GAM X TE,10,1588,6,16
Invitational,6,26. 8. 1. AM 9:42,TAEGO,3,Made in Thailand,5,1282,5,10
Invitational,6,26. 8. 1. AM 9:42,TAEGO,5,Full Sense,4,897,3,7
Invitational,6,26. 8. 1. AM 9:42,TAEGO,4,R8 Esports,1,325,4,5
Invitational,6,26. 8. 1. AM 9:42,TAEGO,8,17 Gaming,4,920,1,5
Invitational,6,26. 8. 1. AM 9:42,TAEGO,10,DN SOOPers,5,925,0,5
Invitational,6,26. 8. 1. AM 9:42,TAEGO,9,Shadow Esports,4,804,0,4
Invitational,6,26. 8. 1. AM 9:42,TAEGO,12,Geekay Esports,4,396,0,4
Invitational,6,26. 8. 1. AM 9:42,TAEGO,14,T1,4,597,0,4
Invitational,6,26. 8. 1. AM 9:42,TAEGO,6,Twisted Minds,1,771,2,3
Invitational,6,26. 8. 1. AM 9:42,TAEGO,13,Team Vitality,3,444,0,3
Invitational,6,26. 8. 1. AM 9:42,TAEGO,11,JD Gaming,2,398,0,2
Invitational,6,26. 8. 1. AM 9:42,TAEGO,15,Anyone's Legend,2,426,0,2
Invitational,6,26. 8. 1. AM 9:42,TAEGO,7,Virtus.pro,0,386,1,1
Invitational,6,26. 8. 1. AM 9:42,TAEGO,16,DIGA Esports,1,437,0,1
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,1,Team Vitality,11,1398,10,21
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,2,Made in Thailand,6,1241,6,12
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,3,Team Falcons,5,1579,5,10
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,7,17 Gaming,7,760,1,8
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,9,JD Gaming,8,1204,0,8
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,6,DIGA Esports,5,956,2,7
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,8,Twisted Minds,6,1052,1,7
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,4,DN SOOPers,1,589,4,5
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,11,T1,4,546,0,4
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,5,R8 Esports,0,624,3,3
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,12,GAM X TE,3,304,0,3
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,10,Virtus.pro,2,845,0,2
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,13,Full Sense,1,380,0,1
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,14,Anyone's Legend,1,420,0,1
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,15,Shadow Esports,1,340,0,1
Invitational,7,26. 8. 1. AM 10:36,ERANGEL,16,Geekay Esports,1,587,0,1
Invitational,8,26. 8. 1. AM 11:28,RONDO,1,DIGA Esports,11,1649,10,21
Invitational,8,26. 8. 1. AM 11:28,RONDO,4,Virtus.pro,9,1191,4,13
Invitational,8,26. 8. 1. AM 11:28,RONDO,8,Anyone's Legend,12,1452,1,13
Invitational,8,26. 8. 1. AM 11:28,RONDO,3,Made in Thailand,6,919,5,11
Invitational,8,26. 8. 1. AM 11:28,RONDO,2,Geekay Esports,3,827,6,9
Invitational,8,26. 8. 1. AM 11:28,RONDO,10,GAM X TE,6,690,0,6
Invitational,8,26. 8. 1. AM 11:28,RONDO,5,Team Vitality,2,226,3,5
Invitational,8,26. 8. 1. AM 11:28,RONDO,15,JD Gaming,4,409,0,4
Invitational,8,26. 8. 1. AM 11:28,RONDO,7,Full Sense,2,720,1,3
Invitational,8,26. 8. 1. AM 11:28,RONDO,16,DN SOOPers,3,325,0,3
Invitational,8,26. 8. 1. AM 11:28,RONDO,6,R8 Esports,0,492,2,2
Invitational,8,26. 8. 1. AM 11:28,RONDO,9,Shadow Esports,2,668,0,2
Invitational,8,26. 8. 1. AM 11:28,RONDO,11,17 Gaming,2,383,0,2
Invitational,8,26. 8. 1. AM 11:28,RONDO,12,Team Falcons,1,280,0,1
Invitational,8,26. 8. 1. AM 11:28,RONDO,13,T1,0,260,0,0
Invitational,8,26. 8. 1. AM 11:28,RONDO,14,Twisted Minds,0,29,0,0
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,1,Shadow Esports,17,2490,10,27
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,3,Made in Thailand,9,1966,5,14
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,6,T1,10,1947,2,12
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,2,GAM X TE,2,889,6,8
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,4,Full Sense,4,979,4,8
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,9,DN SOOPers,4,884,0,4
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,12,Twisted Minds,4,520,0,4
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,5,17 Gaming,0,650,3,3
Invitational,9,26. 8. 1. PM 12:15,MIRAMAR,8,Geekay Esports,2,277,1,3
