순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
1,4AM_SpaceMan1010,4AM,30,4087,29,10,7,15,2,272
2,AL_Himass,Anyone's Legend,29,5605,31,18,11,20,1.4,280
3,PeRo_i26v6,PERO,26,3648,19,9,6,15,1.7,243
4,4AM_Shen,4AM,26,3311,19,7,4,15,1.7,221
5,DNS_Gyumin,DN SOOPers,26,2728,21,7,4,15,1.7,182
6,T1_Heather,T1,25,3264,15,9,4,15,1.7,218
7,TE_Hoangf,TE,25,3008,19,4,4,20,1.3,150
8,FLC_TGLTN,Team Falcons,24,6346,30,15,7,20,1.2,317
9,DNS_DIEL,DN SOOPers,24,3950,17,12,6,15,1.6,263
10,MiTH_KISS,Made in Thailand,24,3611,25,10,4,15,1.6,241
11,TE_TanVuu,TE,23,5389,24,12,6,20,1.1,269
12,FLC_Kickstart,Team Falcons,23,5048,17,18,8,20,1.1,252
13,MiTH_Scappy,Made in Thailand,23,4313,16,12,8,15,1.5,288
14,T1_EEND,T1,23,4024,21,11,6,15,1.5,268
15,NAVI_Hakatory,NAVI,22,5570,23,11,2,15,1.5,371
16,FLC_Shrimzy,Team Falcons,22,4332,25,14,6,20,1.1,217
17,PeRo_Cui711,PERO,22,3118,17,12,4,15,1.5,208
18,PeRo_04NB,PERO,22,3107,16,13,5,15,1.5,207
19,T1_Type,T1,22,2939,20,10,7,15,1.5,196
20,TE_DuCkHjeUz,TE,20,3335,15,16,6,20,1,167
21,FCE_Zest,FCE,20,2979,22,9,5,15,1.3,199
22,MiTH_Baren,Made in Thailand,18,4232,15,14,1,15,1.2,282
23,FS_Thanad0l,Full Sense,18,3542,14,13,4,15,1.2,236
24,TWIS_xmpl,Twisted Minds,17,5069,17,13,5,20,0.8,253
25,AL_Destroyy,Anyone's Legend,17,3699,19,13,8,20,0.8,185
26,MiTH_Jacob,Made in Thailand,17,3304,13,13,3,15,1.1,220
27,AL_Delwyn,Anyone's Legend,17,2994,14,6,4,20,0.8,150
28,4AM_HSmm,4AM,17,2849,15,15,7,15,1.1,190
29,TWIS_BatulinS,Twisted Minds,17,2775,18,10,2,20,0.8,139
30,T1_Rain1ng,T1,16,2995,12,8,6,15,1.1,200
31,PeRo_MMing,PERO,16,2717,13,11,1,15,1.1,181
32,NAVI_spyrro,NAVI,16,2665,13,10,4,15,1.1,178
33,AL_Sololzy,Anyone's Legend,15,3942,14,13,3,20,0.8,197
34,EA_OHPONDZ,EA,15,3167,17,8,4,15,1,211
35,TWIS_Lu,Twisted Minds,15,2425,9,2,1,20,0.8,121
36,FUR_Dr4FTk1NG,FUR,14,2944,15,5,3,15,0.9,196
37,FCE_Tanbinh,FCE,14,2670,12,10,1,15,0.9,178
38,FCE_StannnL,FCE,14,2513,13,11,4,15,0.9,168
39,FS_Belmoth,Full Sense,14,2350,9,7,3,15,0.9,157
40,FCE_Br1annn,FCE,14,2307,13,8,3,15,0.9,154
41,S2G_Quetpa,S2G,13,3832,20,8,4,15,0.9,255
42,TE_Clories,TE,13,3736,17,14,4,20,0.7,187
43,S2G_Shilla,S2G,13,3090,12,5,3,15,0.9,206
44,17_tiantianhaovo,17 Gaming,13,2619,13,5,1,10,1.3,262
45,FS_Flash,Full Sense,13,2512,13,12,3,15,0.9,167
46,JDG_Dec12th,JD Gaming,13,2454,12,6,7,15,0.9,164
47,JDG_nanss,JD Gaming,12,2525,17,12,5,15,0.8,168
48,FS_TiGGER,Full Sense,12,2393,13,9,2,15,0.8,160
49,S2G_CCINEXT,S2G,11,3639,12,11,5,15,0.7,243
50,4AM_WINDah,4AM,11,3139,11,12,1,15,0.7,209
51,FLC_hwinn,Team Falcons,11,2902,15,14,2,20,0.6,145
52,FUR_bielmtcalmo,FUR,10,2750,11,7,2,15,0.7,183
53,FUR_zkraken,FUR,10,1735,10,2,4,15,0.7,116
54,T5_Excrozit,T5,10,1559,7,1,1,10,1,156
55,17_WenBo,17 Gaming,10,1501,9,4,2,10,1,150
56,JDG_Cold119,JD Gaming,9,3125,10,5,3,15,0.6,208
57,TWIS_Molodoct,Twisted Minds,9,3094,12,9,1,20,0.5,155
58,NAVI_boost1k-,NAVI,9,2877,10,7,2,15,0.6,192
59,JDG_SuZe,JD Gaming,9,2208,8,1,1,15,0.6,147
60,S2G_BARON,S2G,9,1867,9,4,3,15,0.6,124
61,EA_Pathompong,EA,8,2711,10,13,2,15,0.5,181
62,DNS_Rex,DN SOOPers,8,1980,7,5,1,15,0.5,132
63,VIT_Lev4nte,Team Vitality,8,1837,8,6,2,10,0.8,184
64,CR_Gyuyeon,CR,8,1499,7,2,1,10,0.8,150
65,T5_RangerX,T5,8,1302,8,2,4,10,0.8,130
66,DNS_Heaven,DN SOOPers,7,2615,9,6,2,15,0.5,174
67,TL_CowBoi,TL,7,2203,10,1,2,5,1.4,441
68,17_xwudd,17 Gaming,7,2168,14,9,2,10,0.7,217
69,EA_Nourinz,EA,7,2095,7,7,2,15,0.5,140
70,EA_Lericz,EA,7,1679,6,7,1,15,0.5,112
71,T5_RossitedJR,T5,7,1377,8,7,1,10,0.7,138
72,VIT_Gedrox,Team Vitality,7,749,5,2,1,10,0.7,75
73,NAVI_Feyerist,NAVI,6,1706,6,7,1,15,0.4,114
74,T5_Flukky,T5,6,1655,7,8,0,10,0.6,166
75,CR_Inonix,CR,6,1506,9,3,3,10,0.6,151
76,TL_PurdyKurty,TL,6,493,5,2,2,5,1.2,99
77,FUR_possa,FUR,5,1493,8,7,2,15,0.3,100
