순위,선수,팀,킬,딜량,기절시킴,어시스트,헤드샷,경기,경기당킬,경기당딜
1,NAVI_Hakatory,NAVI,34,6686,31,17,9,20,1.7,334
2,AL_Himass,Anyone's Legend,34,4780,28,14,7,15,2.3,319
3,NAVI_boost1k-,NAVI,31,5864,29,11,9,20,1.6,293
4,NAVI_spyrro,NAVI,28,5087,29,23,8,20,1.4,254
5,4AM_Shen,4AM,27,4196,22,9,6,20,1.4,210
6,4AM_SpaceMan1010,4AM,26,4930,26,14,8,20,1.3,247
7,AL_Sololzy,Anyone's Legend,25,3428,22,12,3,15,1.7,229
8,VP_Beami,Virtus.pro,24,4994,24,9,7,15,1.6,333
9,17_xwudd,17 Gaming,24,3594,21,11,4,15,1.6,240
10,MiTH_KISS,MiTH,22,4956,23,12,6,20,1.1,248
11,VP_curexi,Virtus.pro,21,4793,20,7,5,15,1.4,320
12,17_Lilghost,17 Gaming,21,3573,10,6,5,15,1.4,238
13,JDG_nanss,JD Gaming,21,3548,18,2,8,15,1.4,237
14,VP_NIXZYEE,Virtus.pro,20,4751,22,12,6,15,1.3,317
15,MiTH_Scappy,MiTH,20,4206,28,13,5,20,1,210
16,T1_Heather,T1,20,3847,22,6,5,15,1.3,256
17,FS_TiGGER,Full Sense,20,2617,21,7,4,15,1.3,174
18,DNS_DIEL,DN SOOPers,19,3564,14,12,3,15,1.3,238
19,DNS_Gyumin,DN SOOPers,19,2224,14,5,4,15,1.3,148
20,FS_Belmoth,Full Sense,18,4330,11,13,9,15,1.2,289
21,EA_OHPONDZ,EA,18,3602,22,8,5,15,1.2,240
22,AL_Destroyy,Anyone's Legend,18,3302,10,13,3,15,1.2,220
23,EA_Pathompong,EA,18,3045,15,12,4,15,1.2,203
24,T1_Type,T1,18,2188,15,9,1,15,1.2,146
25,TWIS_xmpl,Twisted Minds,17,4280,18,6,5,15,1.1,285
26,JDG_Cold119,JD Gaming,17,4113,23,12,3,15,1.1,274
27,TWIS_Perfect1ks,Twisted Minds,17,3293,20,9,3,15,1.1,220
28,17_tiantianhaovo,17 Gaming,17,2520,15,7,2,10,1.7,252
29,17_WenBo,17 Gaming,17,2412,18,14,1,15,1.1,161
30,PeRo_MMing,PERO,16,3014,17,10,5,15,1.1,201
31,TL_PurdyKurty,TL,16,2468,10,6,7,15,1.1,165
32,TL_CowBoi,TL,15,3111,14,11,2,15,1,207
33,DNS_Heaven,DN SOOPers,15,2942,18,7,6,15,1,196
34,JDG_SuZe,JD Gaming,15,2835,11,9,6,15,1,189
35,GTE_TanVuu,GAM X TE,15,2735,13,3,3,10,1.5,274
36,MiTH_Baren,MiTH,14,3651,20,6,3,20,0.7,183
37,4AM_WINDah,4AM,14,3479,13,11,4,20,0.7,174
38,FS_Thanad0l,Full Sense,14,3193,16,10,2,15,0.9,213
39,PeRo_04NB,PERO,14,2901,15,5,2,15,0.9,193
40,4AM_HSmm,4AM,14,2828,9,7,6,20,0.7,141
41,CR_Pio,CR,14,1526,12,0,5,10,1.4,153
42,NAVI_Feyerist,NAVI,13,4005,14,17,6,20,0.7,200
43,AL_Delwyn,Anyone's Legend,13,2531,13,17,2,15,0.9,169
44,MiTH_Jacob,MiTH,12,2830,16,9,3,20,0.6,142
45,TL_aLOW,TL,11,2660,10,6,4,15,0.7,177
46,TWIS_Lu,Twisted Minds,11,2513,14,6,0,15,0.7,168
47,FS_Flash,Full Sense,11,1765,10,11,0,15,0.7,118
48,FUR_zkrakeN,FUR,11,1733,10,3,1,15,0.7,116
49,JDG_Dec12th,JD Gaming,10,3085,18,9,2,15,0.7,206
50,TWIS_BatulinS,Twisted Minds,10,2892,14,11,2,15,0.7,193
51,EA_Nourinz,EA,10,2747,11,15,4,15,0.7,183
52,TL_luke12,TL,10,2526,12,9,5,15,0.7,168
53,PeRo_i26v6,PERO,10,2151,12,4,3,15,0.7,143
54,DNS_Rex,DN SOOPers,9,2248,11,7,3,15,0.6,150
55,PeRo_Cui71,PERO,9,2072,13,6,2,15,0.6,138
56,FLC_TGLTN,Team Falcons,9,2047,8,4,3,10,0.9,205
57,FUR_possa,FUR,9,1879,11,6,3,15,0.6,125
58,FLC_Kickstart,Team Falcons,9,1784,10,8,0,10,0.9,178
59,S2G_BARON,S2G,9,1397,8,0,2,15,0.6,93
60,T1_EEND,T1,8,1952,9,8,4,15,0.5,130
61,S2G_Shilla,S2G,8,1741,11,4,2,15,0.5,116
62,GEN_seoul,GEN,8,1736,11,6,4,10,0.8,174
63,GTE_Clories,GAM X TE,8,1576,9,6,1,10,0.8,158
64,FCE_YUDIRT,FCE,8,1259,7,0,0,10,0.8,126
65,VIT_Lev4nte,Team Vitality,8,1243,9,1,2,5,1.6,249
66,VP_Lukarux,Virtus.pro,7,2809,12,10,2,15,0.5,187
67,EA_Lericz,EA,7,2479,9,9,1,15,0.5,165
68,T1_Rain1ng,T1,7,2201,8,7,1,15,0.5,147
69,FCE_StannnL,FCE,7,1458,4,3,0,10,0.7,146
70,S2G_LAHZA,S2G,7,1328,8,5,1,15,0.5,89
71,FUR_Dr4FTk1NG,FUR,6,2692,13,6,1,15,0.4,179
72,GEN_Salute,GEN,6,1902,8,3,3,10,0.6,190
73,FLC_Shrimzy,Team Falcons,6,1705,6,8,2,10,0.6,171
74,GEN_BeaN,GEN,6,1454,7,4,2,10,0.6,145
75,T5_Khawkong,T5,6,570,8,1,4,5,1.2,114
76,FLC_Gustav,Team Falcons,5,1850,8,6,1,10,0.5,185
77,FUR_bielmtcalmo,FUR,5,1667,5,3,1,15,0.3,111
78,S2G_Quetpa,S2G,5,1412,6,3,2,15,0.3,94
79,FCE_Zest,FCE,5,1301,2,1,3,10,0.5,130
80,CTG_Xcircle,CTG,5,1195,4,3,3,5,1,239
81,VIT_hallomybad,Team Vitality,5,1092,3,1,2,5,1,218
82,GTE_DuCkHjeUz,GAM X TE,5,1050,5,3,2,10,0.5,105
83,GTE_Hoangf,GAM X TE,4,1215,9,10,0,10,0.4,122
84,CR_Glaz,CR,4,855,5,4,0,10,0.4,86
85,T5_DimasTy,T5,4,739,4,2,1,5,0.8,148
86,CR_Gyuyeon,CR,4,691,4,3,1,10,0.4,69
87,CTG_SuiX1ngKzK,CTG,4,656,4,3,0,5,0.8,131
88,17_Akuma,17 Gaming,4,647,1,0,3,5,0.8,129
89,CTG_XcDh,CTG,4,619,5,1,1,5,0.8,124
90,GEN_diyy,GEN,3,1195,5,0,0,10,0.3,120
91,FCE_Tanbinh,FCE,2,750,3,1,0,10,0.2,75
92,CTG_MMAO,CTG,2,612,2,1,1,5,0.4,122
93,T5_RangerX,T5,2,356,2,2,0,5,0.4,71
94,CR_Inonix,CR,1,1088,3,3,0,10,0.1,109
95,VIT_Gedrox,Team Vitality,1,552,1,1,0,5,0.2,110
96,VIT_QWZYYY,Team Vitality,1,550,1,3,1,5,0.2,110
97,T5_Flukky,T5,0,425,0,2,0,5,0,85
